,smd_id,redistricting_year,smd_name,map_color_id,list_of_candidates,number_of_candidates,current_commissioner,commissioner_elect,list_of_candidates_status_5,list_of_candidates_status_6,list_of_candidates_status_7,list_of_candidates_status_8
64,smd_2022_1C09,2022,1C09,6,(no known candidates),0,(vacant),,,,,
65,smd_2022_1D01,2022,1D01,5,(no known candidates),0,(vacant),,,,,
66,smd_2022_1D02,2022,1D02,10,(no known candidates),0,(vacant),,,,,
67,smd_2022_1D03,2022,1D03,11,x,1,(vacant),,,x,,
68,smd_2022_1D04,2022,1D04,12,x,1,(vacant),,,x,,
69,smd_2022_1D05,2022,1D05,1,"x, x",2,(vacant),,,"x, x",,
70,smd_2022_1D06,2022,1D06,6,"x, x",2,(vacant),,,"x, x",,
71,smd_2022_1D07,2022,1D07,1,(no known candidates),0,(vacant),,,,,
72,smd_2022_1E01,2022,1E01,8,x,1,(vacant),,x,,,
73,smd_2022_1E02,2022,1E02,9,x,1,(vacant),,,x,,
74,smd_2022_1E03,2022,1E03,10,x,1,(vacant),,,x,,
75,smd_2022_1E04,2022,1E04,3,"x, x",2,(vacant),,,"x, x",,
76,smd_2022_1E05,2022,1E05,8,(no known candidates),0,(vacant),,,,,
77,smd_2022_1E06,2022,1E06,12,"x, x, x",3,(vacant),,"x, x",x,,
78,smd_2022_1E07,2022,1E07,3,"x, x",2,(vacant),,,"x, x",,
79,smd_2022_2A01,2022,2A01,11,"x, x",2,(vacant),,,"x, x",,
80,smd_2022_2A02,2022,2A02,1,x,1,(vacant),,x,,,
81,smd_2022_2A03,2022,2A03,3,x,1,(vacant),,,x,,
82,smd_2022_2A04,2022,2A04,5,"x, x, x",3,(vacant),,x,"x, x",,
83,smd_2022_2A05,2022,2A05,6,x,1,(vacant),,,x,,
84,smd_2022_2A06,2022,2A06,7,x,1,(vacant),,,x,,
85,smd_2022_2A07,2022,2A07,9,x,1,(vacant),,,x,,
86,smd_2022_2A08,2022,2A08,11,x,1,(vacant),,,x,,
87,smd_2022_2A09,2022,2A09,8,(no known candidates),0,(vacant),,,,,
88,smd_2022_2B01,2022,2B01,10,x,1,(vacant),,x,,,
89,smd_2022_2B02,2022,2B02,6,x,1,(vacant),,,x,,
90,smd_2022_2B03,2022,2B03,12,(no known candidates),0,(vacant),,,,,
91,smd_2022_2B04,2022,2B04,8,x,1,(vacant),,,x,,
92,smd_2022_2B05,2022,2B05,4,x,1,(vacant),,,x,,
93,smd_2022_2B06,2022,2B06,8,x,1,(vacant),,,x,,
94,smd_2022_2B07,2022,2B07,5,"x, x",2,(vacant),,,"x, x",,
95,smd_2022_2B08,2022,2B08,5,"x, x",2,(vacant),,,"x, x",,
96,smd_2022_2B09,2022,2B09,6,x,1,(vacant),,,x,,
97,smd_2022_2C01,2022,2C01,7,x,1,(vacant),,x,,,
98,smd_2022_2C02,2022,2C02,2,"x, x",2,(vacant),,x,x,,
99,smd_2022_2C03,2022,2C03,4,(no known candidates),0,(vacant),,,,,
100,smd_2022_2C04,2022,2C04,5,(no known candidates),0,(vacant),,,,,
101,smd_2022_2D01,2022,2D01,10,x,1,(vacant),,,x,,
102,smd_2022_2D02,2022,2D02,11,x,1,(vacant),,,x,,
103,smd_2022_2E01,2022,2E01,12,x,1,(vacant),,,x,,
104,smd_2022_2E02,2022,2E02,1,"x, x",2,(vacant),,,"x, x",,
105,smd_2022_2E03,2022,2E03,2,(no known candidates),0,(vacant),,,,,
106,smd_2022_2E04,2022,2E04,3,(no known candidates),0,(vacant),,,,,
107,smd_2022_2E05,2022,2E05,6,x,1,(vacant),,,x,,
108,smd_2022_2E06,2022,2E06,5,x,1,(vacant),,,x,,
109,smd_2022_2E07,2022,2E07,6,x,1,(vacant),,,x,,
110,smd_2022_2E08,2022,2E08,7,(no known candidates),0,(vacant),,,,,
111,smd_2022_2F01,2022,2F01,8,x,1,(vacant),,x,,,
112,smd_2022_2F02,2022,2F02,10,x,1,(vacant),,,x,,
113,smd_2022_2F03,2022,2F03,9,(no known candidates),0,(vacant),,,,,
114,smd_2022_2F04,2022,2F04,10,x,1,(vacant),,x,,,
115,smd_2022_2F05,2022,2F05,7,(no known candidates),0,(vacant),,,,,
116,smd_2022_2F06,2022,2F06,2,x,1,(vacant),,,x,,
117,smd_2022_2F07,2022,2F07,11,x,1,(vacant),,x,,,
118,smd_2022_2F08,2022,2F08,3,(no known candidates),0,(vacant),,,,,
119,smd_2022_2G01,2022,2G01,12,"x, x",2,(vacant),,,"x, x",,
120,smd_2022_2G02,2022,2G02,4,"x, x",2,(vacant),,x,x,,
121,smd_2022_2G03,2022,2G03,5,"x, x",2,(vacant),,x,x,,
122,smd_2022_2G04,2022,2G04,1,"x, x, x",3,(vacant),,,"x, x, x",,
123,smd_2022_2G05,2022,2G05,6,x,1,(vacant),,,x,,
124,smd_2022_2G06,2022,2G06,2,"x, x",2,(vacant),,x,x,,
125,smd_2022_3/4G01,2022,3/4G01,12,x,1,(vacant),,x,,,
126,smd_2022_3/4G02,2022,3/4G02,2,x,1,(vacant),,x,,,
127,smd_2022_3/4G03,2022,3/4G03,6,x,1,(vacant),,,x,,
128,smd_2022_3/4G04,2022,3/4G04,7,x,1,(vacant),,x,,,
129,smd_2022_3/4G05,2022,3/4G05,8,"x, x",2,(vacant),,x,x,,
130,smd_2022_3/4G06,2022,3/4G06,9,x,1,(vacant),,x,,,
131,smd_2022_3/4G07,2022,3/4G07,10,(no known candidates),0,(vacant),,,,,
132,smd_2022_3A01,2022,3A01,2,x,1,(vacant),,,x,,
133,smd_2022_3A02,2022,3A02,1,(no known candidates),0,(vacant),,,,,
134,smd_2022_3A03,2022,3A03,3,x,1,(vacant),,x,,,
135,smd_2022_3A04,2022,3A04,10,(no known candidates),0,(vacant),,,,,
136,smd_2022_3A05,2022,3A05,6,x,1,(vacant),,,x,,
137,smd_2022_3B01,2022,3B01,10,x,1,(vacant),,,x,,
138,smd_2022_3B02,2022,3B02,5,"x, x",2,(vacant),,,"x, x",,
139,smd_2022_3B03,2022,3B03,4,x,1,(vacant),,,x,,
140,smd_2022_3B04,2022,3B04,7,(no known candidates),0,(vacant),,,,,
141,smd_2022_3B05,2022,3B05,8,x,1,(vacant),,,x,,
142,smd_2022_3B06,2022,3B06,1,x,1,(vacant),,,x,,
143,smd_2022_3C01,2022,3C01,7,x,1,(vacant),,,x,,
144,smd_2022_3C02,2022,3C02,10,x,1,(vacant),,,x,,
145,smd_2022_3C03,2022,3C03,9,x,1,(vacant),,,x,,
146,smd_2022_3C04,2022,3C04,4,x,1,(vacant),,,x,,
147,smd_2022_3C05,2022,3C05,5,"x, x",2,(vacant),,,"x, x",,
148,smd_2022_3C06,2022,3C06,12,(no known candidates),0,(vacant),,,,,
149,smd_2022_3C07,2022,3C07,3,"x, x",2,(vacant),,,"x, x",,
150,smd_2022_3C08,2022,3C08,11,x,1,(vacant),,,x,,
151,smd_2022_3D01,2022,3D01,5,x,1,(vacant),,,x,,
152,smd_2022_3D02,2022,3D02,7,x,1,(vacant),,,x,,
153,smd_2022_3D03,2022,3D03,1,x,1,(vacant),,,x,,
154,smd_2022_3D04,2022,3D04,9,"x, x",2,(vacant),,,"x, x",,
155,smd_2022_3D05,2022,3D05,10,x,1,(vacant),,x,,,
156,smd_2022_3D06,2022,3D06,2,"x, x",2,(vacant),,,"x, x",,
157,smd_2022_3D07,2022,3D07,7,x,1,(vacant),,x,,,
158,smd_2022_3E01,2022,3E01,4,x,1,(vacant),,,x,,
159,smd_2022_3E02,2022,3E02,5,x,1,(vacant),,x,,,
160,smd_2022_3E03,2022,3E03,6,"x, x",2,(vacant),,,x,x,
161,smd_2022_3E04,2022,3E04,7,"x, x",2,(vacant),,,"x, x",,
162,smd_2022_3E05,2022,3E05,8,x,1,(vacant),,,x,,
163,smd_2022_3E06,2022,3E06,11,x,1,(vacant),,,x,,
164,smd_2022_3E07,2022,3E07,1,(no known candidates),0,(vacant),,,,,
165,smd_2022_3E08,2022,3E08,12,x,1,(vacant),,,,x,
166,smd_2022_3F01,2022,3F01,2,x,1,(vacant),,x,,,
167,smd_2022_3F02,2022,3F02,12,"x, x",2,(vacant),,x,x,,
168,smd_2022_3F03,2022,3F03,11,x,1,(vacant),,x,,,
169,smd_2022_3F04,2022,3F04,9,x,1,(vacant),,,x,,
170,smd_2022_3F05,2022,3F05,9,"x, x",2,(vacant),,x,x,,
171,smd_2022_3F06,2022,3F06,1,"x, x",2,(vacant),,x,x,,
172,smd_2022_4A01,2022,4A01,4,x,1,(vacant),,,x,,
173,smd_2022_4A02,2022,4A02,11,"x, x",2,(vacant),,,"x, x",,
174,smd_2022_4A03,2022,4A03,1,x,1,(vacant),,,x,,
175,smd_2022_4A04,2022,4A04,2,x,1,(vacant),,,x,,
176,smd_2022_4A05,2022,4A05,3,"x, x",2,(vacant),,,"x, x",,
177,smd_2022_4A06,2022,4A06,6,(no known candidates),0,(vacant),,,,,
178,smd_2022_4A07,2022,4A07,7,x,1,(vacant),,,x,,
179,smd_2022_4B01,2022,4B01,7,"x, x",2,(vacant),,,"x, x",,
180,smd_2022_4B02,2022,4B02,8,x,1,(vacant),,,x,,
181,smd_2022_4B03,2022,4B03,9,x,1,(vacant),,,x,,
182,smd_2022_4B04,2022,4B04,6,x,1,(vacant),,,x,,
183,smd_2022_4B05,2022,4B05,10,x,1,(vacant),,,x,,
184,smd_2022_4B06,2022,4B06,12,x,1,(vacant),,,x,,
185,smd_2022_4B07,2022,4B07,1,x,1,(vacant),,x,,,
186,smd_2022_4B08,2022,4B08,10,x,1,(vacant),,,x,,
187,smd_2022_4B09,2022,4B09,12,(no known candidates),0,(vacant),,,,,
188,smd_2022_4B10,2022,4B10,4,x,1,(vacant),,,x,,
189,smd_2022_4C01,2022,4C01,8,(no known candidates),0,(vacant),,,,,
190,smd_2022_4C02,2022,4C02,12,x,1,(vacant),,,x,,
191,smd_2022_4C03,2022,4C03,9,x,1,(vacant),,,x,,
192,smd_2022_4C04,2022,4C04,2,(no known candidates),0,(vacant),,,,,
193,smd_2022_4C05,2022,4C05,9,"x, x",2,(vacant),,,"x, x",,
194,smd_2022_4C06,2022,4C06,1,x,1,(vacant),,x,,,
195,smd_2022_4C07,2022,4C07,11,x,1,(vacant),,,x,,
196,smd_2022_4D01,2022,4D01,11,x,1,(vacant),,,x,,
197,smd_2022_4D02,2022,4D02,7,(no known candidates),0,(vacant),,,,,
198,smd_2022_4D03,2022,4D03,2,"x, x",2,(vacant),,,"x, x",,
199,smd_2022_4D04,2022,4D04,3,(no known candidates),0,(vacant),,,,,
200,smd_2022_4D05,2022,4D05,6,x,1,(vacant),,,x,,
201,smd_2022_4D06,2022,4D06,7,(no known candidates),0,(vacant),,,,,
202,smd_2022_4D07,2022,4D07,4,(no known candidates),0,(vacant),,,,,
203,smd_2022_4D08,2022,4D08,3,x,1,(vacant),,,x,,
204,smd_2022_4E01,2022,4E01,1,"x, x",2,(vacant),,,"x, x",,
205,smd_2022_4E02,2022,4E02,9,x,1,(vacant),,,x,,
206,smd_2022_4E03,2022,4E03,8,x,1,(vacant),,x,,,
207,smd_2022_4E04,2022,4E04,11,x,1,(vacant),,,x,,
208,smd_2022_4E05,2022,4E05,12,"x, x",2,(vacant),,,"x, x",,
209,smd_2022_4E06,2022,4E06,1,x,1,(vacant),,,x,,
210,smd_2022_5A01,2022,5A01,8,x,1,(vacant),,,x,,
211,smd_2022_5A02,2022,5A02,9,x,1,(vacant),,,x,,
212,smd_2022_5A03,2022,5A03,10,x,1,(vacant),,,x,,
213,smd_2022_5A04,2022,5A04,4,x,1,(vacant),,,x,,
214,smd_2022_5A05,2022,5A05,12,(no known candidates),0,(vacant),,,,,
215,smd_2022_5A06,2022,5A06,2,(no known candidates),0,(vacant),,,,,
216,smd_2022_5A07,2022,5A07,12,(no known candidates),0,(vacant),,,,,
217,smd_2022_5A08,2022,5A08,7,(no known candidates),0,(vacant),,,,,
218,smd_2022_5A09,2022,5A09,1,x,1,(vacant),,,x,,
219,smd_2022_5B01,2022,5B01,4,"x, x",2,(vacant),,x,x,,
220,smd_2022_5B02,2022,5B02,5,"x, x",2,(vacant),,x,x,,
221,smd_2022_5B03,2022,5B03,6,x,1,(vacant),,,x,,
222,smd_2022_5B04,2022,5B04,7,"x, x",2,(vacant),,,"x, x",,
223,smd_2022_5B05,2022,5B05,8,"x, x",2,(vacant),,x,x,,
224,smd_2022_5B06,2022,5B06,11,x,1,(vacant),,,x,,
225,smd_2022_5B07,2022,5B07,9,x,1,(vacant),,x,,,
226,smd_2022_5C01,2022,5C01,9,x,1,(vacant),,,x,,
227,smd_2022_5C02,2022,5C02,10,x,1,(vacant),,,x,,
228,smd_2022_5C03,2022,5C03,11,(no known candidates),0,(vacant),,,,,
229,smd_2022_5C04,2022,5C04,12,"x, x",2,(vacant),,x,x,,
230,smd_2022_5C05,2022,5C05,11,x,1,(vacant),,,x,,
231,smd_2022_5C06,2022,5C06,2,(no known candidates),0,(vacant),,,,,
232,smd_2022_5C07,2022,5C07,3,x,1,(vacant),,x,,,
233,smd_2022_5D01,2022,5D01,4,"x, x",2,(vacant),,x,x,,
234,smd_2022_5D02,2022,5D02,7,"x, x",2,(vacant),,,"x, x",,
235,smd_2022_5D03,2022,5D03,5,x,1,(vacant),,,x,,
236,smd_2022_5D04,2022,5D04,10,x,1,(vacant),,,x,,
237,smd_2022_5D05,2022,5D05,1,x,1,(vacant),,,x,,
238,smd_2022_5D06,2022,5D06,11,(no known candidates),0,(vacant),,,,,
239,smd_2022_5D07,2022,5D07,8,x,1,(vacant),,,x,,
240,smd_2022_5D08,2022,5D08,6,(no known candidates),0,(vacant),,,,,
241,smd_2022_5D09,2022,5D09,3,(no known candidates),0,(vacant),,,,,
242,smd_2022_5E01,2022,5E01,3,x,1,(vacant),,,x,,
243,smd_2022_5E02,2022,5E02,4,"x, x",2,(vacant),,x,x,,
244,smd_2022_5E03,2022,5E03,5,"x, x",2,(vacant),,,"x, x",,
245,smd_2022_5E04,2022,5E04,3,x,1,(vacant),,,x,,
246,smd_2022_5E05,2022,5E05,6,x,1,(vacant),,,x,,
247,smd_2022_5E06,2022,5E06,7,x,1,(vacant),,x,,,
248,smd_2022_5F01,2022,5F01,1,(no known candidates),0,(vacant),,,,,
249,smd_2022_5F02,2022,5F02,9,x,1,(vacant),,,x,,
250,smd_2022_5F03,2022,5F03,12,"x, x",2,(vacant),,x,x,,
251,smd_2022_5F04,2022,5F04,8,x,1,(vacant),,,x,,
252,smd_2022_5F05,2022,5F05,10,"x, x",2,(vacant),,,"x, x",,
253,smd_2022_5F06,2022,5F06,9,x,1,(vacant),,,x,,
254,smd_2022_5F07,2022,5F07,2,x,1,(vacant),,,x,,
255,smd_2022_6A01,2022,6A01,12,x,1,(vacant),,,x,,
256,smd_2022_6A02,2022,6A02,7,"x, x",2,(vacant),,x,x,,
257,smd_2022_6A03,2022,6A03,10,"x, x, x",3,(vacant),,x,"x, x",,
258,smd_2022_6A04,2022,6A04,5,"x, x",2,(vacant),,x,x,,
259,smd_2022_6A05,2022,6A05,1,x,1,(vacant),,,x,,
260,smd_2022_6A06,2022,6A06,2,x,1,(vacant),,,x,,
261,smd_2022_6A07,2022,6A07,11,x,1,(vacant),,,x,,
262,smd_2022_6B01,2022,6B01,5,x,1,(vacant),,x,,,
263,smd_2022_6B02,2022,6B02,6,x,1,(vacant),,x,,,
264,smd_2022_6B03,2022,6B03,7,x,1,(vacant),,,x,,
265,smd_2022_6B04,2022,6B04,8,x,1,(vacant),,x,,,
266,smd_2022_6B05,2022,6B05,9,(no known candidates),0,(vacant),,,,,
267,smd_2022_6B06,2022,6B06,3,x,1,(vacant),,,x,,
268,smd_2022_6B07,2022,6B07,1,x,1,(vacant),,x,,,
269,smd_2022_6B08,2022,6B08,4,x,1,(vacant),,x,,,
270,smd_2022_6B09,2022,6B09,8,x,1,(vacant),,x,,,
271,smd_2022_6C01,2022,6C01,11,"x, x",2,(vacant),,x,x,,
272,smd_2022_6C02,2022,6C02,3,x,1,(vacant),,,x,,
273,smd_2022_6C03,2022,6C03,5,"x, x",2,(vacant),,x,x,,
274,smd_2022_6C04,2022,6C04,6,x,1,(vacant),,x,,,
275,smd_2022_6C05,2022,6C05,2,x,1,(vacant),,,x,,
276,smd_2022_6C06,2022,6C06,7,x,1,(vacant),,x,,,
277,smd_2022_6C07,2022,6C07,8,x,1,(vacant),,,x,,
278,smd_2022_6D01,2022,6D01,1,x,1,(vacant),,x,,,
279,smd_2022_6D02,2022,6D02,10,"x, x",2,(vacant),,x,x,,
280,smd_2022_6D03,2022,6D03,5,x,1,(vacant),,x,,,
281,smd_2022_6D04,2022,6D04,7,(no known candidates),0,(vacant),,,,,
282,smd_2022_6D05,2022,6D05,3,"x, x",2,(vacant),,,"x, x",,
283,smd_2022_6D06,2022,6D06,9,"x, x",2,(vacant),,,"x, x",,
284,smd_2022_6D07,2022,6D07,11,x,1,(vacant),,,x,,
285,smd_2022_6D08,2022,6D08,2,x,1,(vacant),,,x,,
286,smd_2022_6E01,2022,6E01,8,x,1,(vacant),,x,,,
287,smd_2022_6E02,2022,6E02,7,(no known candidates),0,(vacant),,,,,
288,smd_2022_6E03,2022,6E03,12,x,1,(vacant),,x,,,
289,smd_2022_6E04,2022,6E04,9,x,1,(vacant),,,x,,
290,smd_2022_6E05,2022,6E05,7,(no known candidates),0,(vacant),,,,,
291,smd_2022_6E06,2022,6E06,11,(no known candidates),0,(vacant),,,,,
292,smd_2022_6E07,2022,6E07,10,(no known candidates),0,(vacant),,,,,
293,smd_2022_6E08,2022,6E08,2,x,1,(vacant),,,x,,
294,smd_2022_6E09,2022,6E09,4,(no known candidates),0,(vacant),,,,,
295,smd_2022_7B01,2022,7B01,10,x,1,(vacant),,,x,,
296,smd_2022_7B02,2022,7B02,2,x,1,(vacant),,,x,,
297,smd_2022_7B03,2022,7B03,5,x,1,(vacant),,x,,,
298,smd_2022_7B04,2022,7B04,8,"x, x",2,(vacant),,,"x, x",,
299,smd_2022_7B05,2022,7B05,3,x,1,(vacant),,,x,,x
300,smd_2022_7B06,2022,7B06,4,x,1,(vacant),,,x,,
301,smd_2022_7B07,2022,7B07,5,x,1,(vacant),,,x,,
302,smd_2022_7B08,2022,7B08,9,(no known candidates),0,(vacant),,,,,
303,smd_2022_7B09,2022,7B09,1,"x, x",2,(vacant),,,"x, x",,
304,smd_2022_7C01,2022,7C01,2,(no known candidates),0,(vacant),,,,,
305,smd_2022_7C02,2022,7C02,7,x,1,(vacant),,,x,,
306,smd_2022_7C03,2022,7C03,8,x,1,(vacant),,,x,,
307,smd_2022_7C04,2022,7C04,9,"x, x",2,(vacant),,x,x,,x
308,smd_2022_7C05,2022,7C05,10,"x, x, x",3,(vacant),,,"x, x, x",,
309,smd_2022_7C06,2022,7C06,11,x,1,(vacant),,x,,,
310,smd_2022_7C07,2022,7C07,12,"x, x",2,(vacant),,x,x,,
311,smd_2022_7C08,2022,7C08,2,"x, x",2,(vacant),,x,x,,
312,smd_2022_7C09,2022,7C09,11,"x, x",2,(vacant),,,"x, x",,
313,smd_2022_7D01,2022,7D01,3,(no known candidates),0,(vacant),,,,,
314,smd_2022_7D02,2022,7D02,11,(no known candidates),0,(vacant),,,,,
315,smd_2022_7D03,2022,7D03,9,x,1,(vacant),,,x,,
316,smd_2022_7D04,2022,7D04,4,x,1,(vacant),,,x,,
317,smd_2022_7D05,2022,7D05,1,"x, x",2,(vacant),,x,x,,
318,smd_2022_7D06,2022,7D06,3,x,1,(vacant),,x,,,
319,smd_2022_7D07,2022,7D07,5,"x, x",2,(vacant),,,x,x,
320,smd_2022_7D08,2022,7D08,4,x,1,(vacant),,,x,,
321,smd_2022_7D09,2022,7D09,2,"x, x",2,(vacant),,,"x, x",,
322,smd_2022_7D10,2022,7D10,5,x,1,(vacant),,x,,,
323,smd_2022_7E01,2022,7E01,10,(no known candidates),0,(vacant),,,,,
324,smd_2022_7E02,2022,7E02,8,(no known candidates),0,(vacant),,,,,
325,smd_2022_7E03,2022,7E03,10,(no known candidates),0,(vacant),,,,,
326,smd_2022_7E04,2022,7E04,11,x,1,(vacant),,,x,,
327,smd_2022_7E05,2022,7E05,12,x,1,(vacant),,,x,,
328,smd_2022_7E06,2022,7E06,1,(no known candidates),0,(vacant),,,,,
329,smd_2022_7E07,2022,7E07,12,(no known candidates),0,(vacant),,,,,
330,smd_2022_7F01,2022,7F01,3,x,1,(vacant),,,x,,
331,smd_2022_7F02,2022,7F02,6,"x, x, x",3,(vacant),,x,"x, x",,
332,smd_2022_7F03,2022,7F03,8,x,1,(vacant),,,x,,
333,smd_2022_7F04,2022,7F04,6,x,1,(vacant),,,x,,
334,smd_2022_7F05,2022,7F05,4,"x, x",2,(vacant),,,"x, x",,
335,smd_2022_7F06,2022,7F06,6,(no known candidates),0,(vacant),,,,,
336,smd_2022_7F07,2022,7F07,9,"x, x, x",3,(vacant),,x,"x, x",,
337,smd_2022_7F08,2022,7F08,12,(no known candidates),0,(vacant),,,,,
338,smd_2022_8A01,2022,8A01,5,"x, x",2,(vacant),,x,x,,
339,smd_2022_8A02,2022,8A02,7,"x, x, x",3,(vacant),,,"x, x, x",,
340,smd_2022_8A03,2022,8A03,6,"x, x",2,(vacant),,,"x, x",,
341,smd_2022_8A04,2022,8A04,1,"x, x",2,(vacant),,,"x, x",,
342,smd_2022_8A05,2022,8A05,2,x,1,(vacant),,,x,,
343,smd_2022_8A06,2022,8A06,3,x,1,(vacant),,x,,,
344,smd_2022_8A07,2022,8A07,3,(no known candidates),0,(vacant),,,,,
345,smd_2022_8B01,2022,8B01,2,"x, x",2,(vacant),,x,x,,
346,smd_2022_8B02,2022,8B02,6,x,1,(vacant),,,x,,
347,smd_2022_8B03,2022,8B03,7,(no known candidates),0,(vacant),,,,,
348,smd_2022_8B04,2022,8B04,8,"x, x",2,(vacant),,x,x,,
349,smd_2022_8B05,2022,8B05,5,x,1,(vacant),,,x,,
350,smd_2022_8B06,2022,8B06,4,"x, x",2,(vacant),,,"x, x",,
351,smd_2022_8B07,2022,8B07,5,(no known candidates),0,(vacant),,,,,
352,smd_2022_8C01,2022,8C01,12,"x, x",2,(vacant),,x,x,,
353,smd_2022_8C02,2022,8C02,9,"x, x, x",3,(vacant),,,"x, x, x",,
354,smd_2022_8C03,2022,8C03,4,"x, x",2,(vacant),,,"x, x",,
355,smd_2022_8C04,2022,8C04,5,"x, x, x",3,(vacant),,,"x, x, x",,
356,smd_2022_8C05,2022,8C05,3,"x, x",2,(vacant),,x,x,,
357,smd_2022_8C06,2022,8C06,8,"x, x, x",3,(vacant),,,"x, x, x",,
358,smd_2022_8C07,2022,8C07,10,x,1,(vacant),,,x,,
359,smd_2022_8C08,2022,8C08,2,x,1,(vacant),,,x,,
360,smd_2022_8D01,2022,8D01,2,(no known candidates),0,(vacant),,,,,
361,smd_2022_8D02,2022,8D02,4,(no known candidates),0,(vacant),,,,,
362,smd_2022_8D03,2022,8D03,9,(no known candidates),0,(vacant),,,,,
363,smd_2022_8D04,2022,8D04,10,(no known candidates),0,(vacant),,,,,
364,smd_2022_8D05,2022,8D05,11,x,1,(vacant),,,x,,
365,smd_2022_8D06,2022,8D06,12,"x, x",2,(vacant),,x,x,,
366,smd_2022_8D07,2022,8D07,1,(no known candidates),0,(vacant),,,,,
367,smd_2022_8D08,2022,8D08,3,"x, x",2,(vacant),,,"x, x",,
368,smd_2022_8E01,2022,8E01,10,"x, x",2,(vacant),,,"x, x",,
369,smd_2022_8E02,2022,8E02,4,"x, x",2,(vacant),,,"x, x",,
370,smd_2022_8E03,2022,8E03,11,x,1,(vacant),,,x,,
371,smd_2022_8E04,2022,8E04,5,"x, x",2,(vacant),,,"x, x",,
372,smd_2022_8E05,2022,8E05,2,x,1,(vacant),,,x,,
373,smd_2022_8E06,2022,8E06,1,"x, x, x",3,(vacant),,,"x, x, x",,
374,smd_2022_8E07,2022,8E07,11,(no known candidates),0,(vacant),,,,,
375,smd_2022_8E08,2022,8E08,4,(no known candidates),0,(vacant),,,,,
376,smd_2022_8E09,2022,8E09,12,(no known candidates),0,(vacant),,,,,
377,smd_2022_8F01,2022,6/8F01,6,x,1,(vacant),,,x,,
378,smd_2022_8F02,2022,6/8F02,10,"x, x",2,(vacant),,,x,x,
379,smd_2022_8F03,2022,6/8F03,8,"x, x",2,(vacant),,,"x, x",,
380,smd_2022_8F04,2022,6/8F04,4,"x, x, x",3,(vacant),,,"x, x, x",,
381,smd_2022_8F05,2022,6/8F05,7,"x, x",2,(vacant),,,"x, x",,
